X,Y,RedChiSq,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Amp9,Amp10,Wvl1,Wvl2,Wvl3,Wvl4,Wvl5,Wvl6,Wvl7,Wvl8,Wvl9,Wvl10,Sig1,Sig2,Sig3,Sig4,Sig5,Sig6,Sig7,Sig8,Sig9,Sig10
1, 0, 1.1858, 25.9224, 129.1947, 0.0, 720.4792, 77.7671, 387.584, 1.2201, 170.7689, 7.1279, 98.893,6557.13, 6552.5354, 6571.9015, 6567.2965, 6592.5791, 6587.9596, 6725.7535, 6721.0407, 6740.1535, 6735.4306,1.2714, 1.7331, 1.2714, 1.7331, 1.2714, 1.7331, 1.2714, 1.7331, 1.2714, 1.7331
1, 1, 1.379, 114.0123, 40.7695, 561.1983, 270.8806, 342.0369, 122.3085, 156.6338, 59.3319, 74.1681, 60.3814,6552.9531, 6551.2262, 6567.7152, 6565.9844, 6588.3796, 6586.6434, 6721.4692, 6719.6979, 6735.86, 6734.0849,1.644, 0.9666, 1.644, 0.9666, 1.644, 0.9666, 1.644, 0.9666, 1.644, 0.9666
1, 2, 1.1653, 17.0349, 129.4514, 16.3288, 669.0426, 51.1047, 388.3542, 34.7284, 182.2444, 2.0222, 134.399,6557.1941, 6552.411, 6571.9657, 6567.1718, 6592.6435, 6587.8346, 6725.8192, 6720.9131, 6740.2193, 6735.3027,1.5621, 1.685, 1.5621, 1.685, 1.5621, 1.685, 1.5621, 1.685, 1.5621, 1.685
1, 3, 1.1567, 20.5527, 128.7825, 0.0, 655.085, 61.6582, 386.3475, 13.3914, 168.3068, 1.0956, 120.6908,6557.049, 6552.5825, 6571.8203, 6567.3437, 6592.4977, 6588.007, 6725.6704, 6721.089, 6740.0702, 6735.479,1.2602, 1.6854, 1.2602, 1.6854, 1.2602, 1.6854, 1.2602, 1.6854, 1.2602, 1.6854
1, 4, 1.0685, 16.5098, 118.8987, 0.0, 656.4801, 49.5294, 356.6961, 16.2683, 155.9915, 5.5269, 122.5694,6556.6856, 6552.4775, 6571.4561, 6567.2385, 6592.1323, 6587.9015, 6725.2977, 6720.9814, 6739.6967, 6735.3711,1.501, 1.6733, 1.501, 1.6733, 1.501, 1.6733, 1.501, 1.6733, 1.501, 1.6733
1, 5, 1.1065, 13.7198, 108.9323, 0.0, 585.7992, 41.1593, 326.7969, 26.0608, 124.3445, 5.5101, 99.7542,6556.5185, 6552.6755, 6571.2886, 6567.4369, 6591.9643, 6588.1005, 6725.1263, 6721.1845, 6739.5249, 6735.5746,1.9212, 1.7262, 1.9212, 1.7262, 1.9212, 1.7262, 1.9212, 1.7262, 1.9212, 1.7262
1, 6, 0.861, 19.6759, 89.1308, 138.4266, 474.9399, 59.0278, 267.3925, 0.0, 145.354, 11.6724, 97.6565,6551.1367, 6552.9932, 6565.8946, 6567.7554, 6586.5533, 6588.4199, 6719.606, 6721.5103, 6733.9928, 6735.9012,1.0929, 1.658, 1.0929, 1.658, 1.0929, 1.658, 1.0929, 1.658, 1.0929, 1.658
1, 7, 1.0914, 24.5269, 68.1599, 0.0, 527.5673, 73.5807, 204.4796, 51.3338, 55.5859, 50.4027, 26.6659,6553.4162, 6552.7795, 6568.1792, 6567.5411, 6588.8452, 6588.205, 6721.9442, 6721.2911, 6736.3359, 6735.6815,2.9085, 1.6577, 2.9085, 1.6577, 2.9085, 1.6577, 2.9085, 1.6577, 2.9085, 1.6577
1, 8, 0.677, 14.4246, 95.924, 0.0, 529.3331, 43.2737, 287.7721, 17.2747, 128.2237, 5.0534, 99.0551,6557.3699, 6552.7889, 6572.1419, 6567.5505, 6592.8203, 6588.2145, 6725.9996, 6721.3007, 6740.4, 6735.6911,1.8021, 1.6719, 1.8021, 1.6719, 1.8021, 1.6719, 1.8021, 1.6719, 1.8021, 1.6719
1, 9, 0.9541, 87.4034, 0.0, 2.2105, 531.2718, 262.2103, 0.0, 0.0, 121.7377, 77.292, 2.9727,6553.013, 6552.907, 6567.7751, 6567.6689, 6588.4398, 6588.3332, 6721.5306, 6721.4219, 6735.9215, 6735.8125,1.919, 1.61, 1.919, 1.61, 1.919, 1.61, 1.919, 1.61, 1.919, 1.61
1, 10, 0.713, 7.5964, 89.2385, 173.421, 441.1065, 22.7891, 267.7155, 50.1419, 97.206, 6.9784, 77.8424,6553.6828, 6552.7443, 6568.4465, 6567.5058, 6589.1132, 6588.1697, 6722.2176, 6721.255, 6736.61, 6735.6453,0.936, 1.6898, 0.936, 1.6898, 0.936, 1.6898, 0.936, 1.6898, 0.936, 1.6898
